"student_id","age","gender","residency","socioeconomic_status","parental_education","family_income","distance_to_university","study_hours_weekly","attendance_rate","library_usage","extracurricular_activities","internet_access","device_ownership","previous_grade","math_score","science_score","english_score","study_group_participation","scholarship_status","campus_housing","part_time_job","commute_time","sleep_hours","stress_level","course_load","faculty","year_of_study","mobile_money_usage","health_status","academic_performance","study_hours_binned","income_binned","total_score"
1,18,"Male","Urban","Middle","Tertiary",15223.05,72.9,7,0.85988243133761,1.4,"None","Yes","Both",52.2,85.2,44.8,35.7,"Yes","None","On-Campus","Yes",37.7,5.5,"Low",16,"Sciences","2nd",4710.2,"Good","Average","Low","Medium-Low",55.2333333333333
2,20,"Female","Rural","High","Secondary",19615,98.8,10.3,0.71810635982547,1.8,"Both","Yes","Both",63.4,50.9,70.3,65.5,"No","Partial","Off-Campus","Yes",34.4,8.6,"Moderate",18.6,"Business","1st",3178.76,"Good","Average","Moderate","Medium-Low",62.2333333333333
3,27,"Male","Urban","Low","Secondary",12709.36,54,14.6,0.803965029888786,3.6,"Both","Yes","Laptop",71.1,51.9,58.1,65.8,"Yes","Partial","Off-Campus","Yes",59.2,8.5,"Moderate",10.2,"Education","4th",1186.15,"Fair","Good","Moderate","Low",58.6
4,28,"Female","Urban","Middle","Tertiary",28036.79,17.6,4.8,0.702442192239687,3.7,"Clubs","Yes","Laptop",66.9,54.5,47.5,39.4,"Yes","Partial","Off-Campus","No",35.2,7.9,"Moderate",19.1,"Education","1st",5741.88,"Fair","Poor","Low","Medium-High",47.1333333333333
5,27,"Other","Urban","High","Primary",NA,57.7,16.9,NA,1.1,"Clubs","No","Both",41.2,71.2,72.7,70.4,"No","None","On-Campus","No",35.3,6.5,"High",15.3,"Engineering","2nd",5251.68,"Good",NA,"Moderate",NA,71.4333333333333
6,21,"Male","Urban","Middle","None",21548.06,23.5,18.3,0.642548636067659,1.6,"Clubs","Yes","Both",91.1,68.1,57.5,69.5,"No","None","Off-Campus","Yes",3.5,8.5,"Low",15.1,"Education","3rd",4340.61,"Fair","Poor","Moderate","Medium-Low",65.0333333333333
7,18,"Female","Urban","Middle","Secondary",27786.33,60.5,14.5,0.790196709451266,3.6,"Clubs","No","None",61.9,55.3,56.4,78.4,"No","None","On-Campus","No",69,8.7,"High",15.6,"Sciences","3rd",4564.56,"Excellent","Average","Moderate","Medium-High",63.3666666666667
8,21,"Male","Urban","Middle","Tertiary",8858.43,81.7,13.6,0.655401469557546,7.5,"Both","No","Laptop",57.7,55.9,67.9,43.3,"Yes","None","On-Campus","No",22.8,5.2,"Low",15.2,"Engineering","1st",-326.42,"Excellent","Average","Moderate","Low",55.7
9,20,"Female","Rural","Middle","Secondary",23375.15,50.6,13.7,0.864398041856475,4.1,"None","Yes","Smartphone",47.2,59.9,56.3,57.8,"Yes","None","Off-Campus","No",47.4,7.9,"Low",13.5,"Arts","2nd",6966.93,"Fair","Excellent","Moderate","Medium-Low",58
10,22,"Male","Rural","Low","Primary",17208.48,62,11.7,NA,6.4,"Sports","Yes","None",58.2,52.7,61.3,40.8,"Yes","Full","On-Campus","No",24.8,6.1,"High",18.7,"Education","4th",2152.95,"Excellent",NA,"Moderate","Medium-Low",51.6
11,22,"Male","Rural","Middle","Primary",19621.62,29.5,15.9,0.881475945003331,10,"Both","No","Both",55.4,61.5,60.9,68.6,"No","None","Off-Campus","No",29,5.8,"Moderate",14.9,"Business","2nd",1772.49,"Excellent","Excellent","Moderate","Medium-Low",63.6666666666667
12,20,"Male","Urban","Middle","Primary",20056.26,21.7,10.2,0.963905767421238,6.1,"Both","Yes","None",69.9,66.9,33.4,70.7,"Yes","None","Off-Campus","Yes",37.8,8.1,"Moderate",24.8,"Sciences","4th",3250.98,"Good","Good","Moderate","Medium-Low",57
13,27,"Female","Rural","Middle","Primary",25718.69,45.4,4.6,0.945067213848233,0.8,"Sports","Yes","Laptop",67.6,60.1,37.1,44.3,"No","None","Off-Campus","No",33.8,10.3,"Moderate",14.1,"Business","1st",2242.3,"Good","Poor","Low","Medium-High",47.1666666666667
14,28,"Male","Urban","Middle","Secondary",21493.93,35.5,19.6,0.979229633463547,2.5,"None","No","Smartphone",51.3,71.3,68.7,45.8,"No","None","Off-Campus","No",68.5,6.8,"High",14.9,"Arts","4th",5352.94,"Excellent","Good","Moderate","Medium-Low",61.9333333333333
15,25,"Female","Urban","Middle","Primary",17582.32,15.4,21.6,0.77895930968225,8,"Clubs","No","Both",83.6,72.8,68.7,48.8,"Yes","None","Off-Campus","No",58.5,5.5,"Low",11.2,"Engineering","3rd",2005.46,"Fair","Good","High","Medium-Low",63.4333333333333
16,25,"Male","Urban","Low","Secondary",14166.18,89.7,12.4,0.542046968941577,4.6,"Sports","Yes","None",89.6,39.3,53.5,52.4,"No","None","On-Campus","No",41.8,7.9,"Moderate",20.8,"Business","4th",1576.52,"Good","Average","Moderate","Low",48.4
17,28,"Male","Rural","Middle","Tertiary",64626.86,4.9,12.5,0.742491994169541,1.9,"Both","Yes","Both",41.9,26.8,54.1,43.5,"No","Full","Off-Campus","Yes",44.3,6.3,"High",15.5,"Arts","1st",4327.76,"Good","Average","Moderate","High",41.4666666666667
18,23,"Female","Rural","Middle","Secondary",19753.44,97.2,10.3,0.540474014589563,5.4,"None","Yes","Laptop",86,NA,88.2,40.2,"No","None","On-Campus","Yes",45.9,9.3,"Low",16.3,"Sciences","2nd",5120.13,"Excellent",NA,"Moderate","Medium-Low",64.2
19,26,"Female","Urban","Middle","Primary",29949.52,94.7,13.7,0.551739961025305,4.2,"None","Yes","Laptop",99.9,67.8,70.6,48.7,"No","Partial","On-Campus","No",24.8,5.8,"Low",16.2,"Education","1st",1958.84,"Excellent","Average","Moderate","Medium-High",62.3666666666667
20,21,"Male","Rural","Low","Tertiary",33861.92,28.5,16.6,0.552016709814779,5.3,"None","Yes","Smartphone",76.9,NA,76.7,51.5,"Yes","Partial","On-Campus","No",53.8,6.1,"High",15.1,"Sciences","2nd",2905.89,"Excellent",NA,"Moderate","Medium-High",64.1
21,19,"Male","Rural","Low","Secondary",-331.38,61.9,17.5,0.567613534629345,0,"Clubs","Yes","Both",67.8,72.8,57.6,51.5,"No","Partial","Off-Campus","Yes",48,8.5,"High",15.1,"Sciences","2nd",2425.24,"Excellent","Average","Moderate","Low",60.6333333333333
22,26,"Female","Rural","Middle","Secondary",31873.64,60.6,13.9,0.640632491908036,5.5,"Clubs","Yes","Laptop",43.3,41.8,68,46.1,"No","Full","On-Campus","Yes",44.2,9.2,"Low",12.7,"Engineering","4th",1884,"Fair","Average","Moderate","Medium-High",51.9666666666667
23,29,"Female","Urban","Middle","None",33504.09,22.4,20.7,0.938771329354495,2.9,"None","Yes","Laptop",84.2,44.7,68.7,75.7,"Yes","Full","Off-Campus","Yes",14.1,6.3,"Low",12.9,"Engineering","3rd",-1477.31,"Good","Excellent","High","Medium-High",63.0333333333333
24,23,"Male","Urban","Low","Tertiary",49104.03,40.8,9.2,0.975331714376807,6.1,"Both","Yes","None",76.9,42.2,38.4,41.7,"Yes","Full","On-Campus","No",37.1,7.2,"High",13.1,"Arts","1st",5587.36,"Fair","Poor","Low","High",40.7666666666667
25,28,"Male","Rural","Low","Primary",29566.21,82.6,12.2,0.514867444755509,11,"Both","Yes","None",44.7,56.4,84.3,88.7,"Yes","Partial","Off-Campus","No",19.7,7.1,"High",14.2,"Education","2nd",1975.8,"Good","Poor","Moderate","Medium-High",76.4666666666667
26,26,"Male","Urban","Middle","Secondary",9249.32,66.8,13.3,0.723600429366343,1.2,"Both","Yes","None",41.8,49.9,84.4,70.2,"No","Partial","Off-Campus","No",29.3,6.3,"High",15.6,"Sciences","1st",1750.19,"Good","Good","Moderate","Low",68.1666666666667
27,29,"Male","Rural","Low","Primary",16584.4,26.7,19.7,0.862417944590561,7.7,"Both","Yes","None",69.6,42,86.6,72.6,"Yes","Full","On-Campus","No",21.6,5.9,"High",23.3,"Engineering","2nd",-1730.47,"Excellent","Good","Moderate","Medium-Low",67.0666666666667
28,25,"Other","Urban","Middle","None",14830.57,6.8,5.2,0.694667018135078,5.4,"Both","Yes","Both",85,68.4,55.1,54.8,"No","None","On-Campus","Yes",45.9,4,"Moderate",13.3,"Education","4th",-521.68,"Fair","Average","Low","Low",59.4333333333333
29,18,"Male","Urban","Low","None",45777.63,70.1,17.4,0.527339352178387,4.7,"Both","Yes","Smartphone",48.9,60.6,83.4,56.4,"Yes","None","Off-Campus","No",38.5,7.1,"Moderate",9.1,"Business","2nd",2976.74,"Good","Excellent","Moderate","High",66.8
30,20,"Male","Urban","Middle","Primary",38205.45,86.2,15.1,0.509527666377835,2.7,"Both","No","None",80.1,80.2,56.7,72.4,"Yes","Partial","On-Campus","No",30.3,9.7,"Low",23.4,"Business","3rd",1861.08,"Excellent","Poor","Moderate","High",69.7666666666667
31,30,"Female","Urban","Middle","Secondary",202696.2,90.8,9.6,0.927916780812666,8.5,"None","Yes","None",78.3,79.5,62.9,58.6,"Yes","None","Off-Campus","No",29.6,7.4,"Moderate",14.7,"Education","3rd",1997.95,"Fair","Excellent","Low","High",67
32,20,"Female","Rural","Low","Primary",5999.69,67.5,10.3,0.775984320323914,10.2,"Sports","Yes","Both",86.7,89.3,46.8,33.1,"No","None","Off-Campus","No",33.1,7.7,"High",18.3,"Education","1st",1109.35,"Excellent","Poor","Moderate","Low",56.4
33,29,"Female","Urban","Middle","Secondary",38407.89,11.8,16.1,0.654882460366935,2.8,"Sports","Yes","Smartphone",75.1,85.5,64,88.4,"No","Full","On-Campus","Yes",27.5,5.7,"Low",13.2,"Engineering","1st",5258.77,"Fair","Excellent","Moderate","High",79.3
34,24,"Male","Rural","Middle","Tertiary",NA,42.4,-2,0.982428660383448,-4.8,"Sports","Yes","Laptop",92.9,84.9,36,26.9,"Yes","None","Off-Campus","Yes",13.4,9.2,"Moderate",17.1,"Education","2nd",5775.63,"Good","Poor","Low",NA,49.2666666666667
35,25,"Male","Rural","Low","Primary",16168.32,2.8,11.1,0.594115649000742,6.2,"Sports","Yes","Laptop",54.1,64.8,44.7,75.5,"No","None","On-Campus","Yes",43.8,7.8,"Moderate",18.2,"Arts","3rd",4749.57,"Fair","Average","Moderate","Medium-Low",61.6666666666667
36,29,"Male","Urban","Middle","Primary",12508.09,60.1,18.8,0.926367436069995,3.6,"None","Yes","Both",47.1,50.6,60,59.6,"No","None","On-Campus","No",46.7,8.1,"High",18.9,"Engineering","1st",3175.49,"Good","Good","Moderate","Low",56.7333333333333
37,30,"Female","Urban","Low","Secondary",52408.61,28.5,17.1,0.885842867894098,3.2,"Clubs","Yes","Laptop",82.2,63.5,47.5,82.1,"No","None","Off-Campus","No",37.5,7.5,"Low",18.6,"Education","3rd",1024.36,"Fair","Excellent","Moderate","High",64.3666666666667
38,29,"Female","Rural","Low","Tertiary",16292.07,76.2,10.7,0.939564446802251,8.7,"None","Yes","Laptop",40.9,55.7,58,62.8,"Yes","None","Off-Campus","No",16.3,11,"High",13.1,"Engineering","1st",1099.47,"Fair","Poor","Moderate","Medium-Low",58.8333333333333
39,29,"Female","Urban","Low","None",22450.77,84.8,12.8,0.512868302874267,8.2,"Sports","Yes","Smartphone",67.8,52.9,52,69.4,"Yes","None","On-Campus","No",53.8,9,"High",20.6,"Engineering","4th",1031.77,"Fair","Poor","Moderate","Medium-Low",58.1
40,24,"Female","Urban","Middle","None",29210.99,83.9,20.5,0.907576492754743,9.9,"None","Yes","None",56.6,41.3,81,61.1,"No","None","Off-Campus","No",-4.3,5.5,"High",19.8,"Business","3rd",1177.15,"Fair","Average","High","Medium-High",61.1333333333333
41,21,"Male","Urban","Middle","Secondary",37806.59,21.3,16.1,0.563501194235869,3.3,"Both","Yes","Smartphone",74.9,83.8,71.2,88.3,"No","None","Off-Campus","No",39.9,4.2,"Moderate",11.2,"Arts","3rd",2862.95,"Good","Good","Moderate","High",81.1
42,23,"Female","Urban","Low","Tertiary",17434.6,71.9,20.9,0.501580347772688,7.4,"Sports","No","None",79.7,62.3,58.6,33.8,"Yes","None","On-Campus","No",48.3,9.6,"High",15.4,"Business","1st",6473.97,"Fair","Average","High","Medium-Low",51.5666666666667
43,18,"Male","Rural","Low","Primary",34073.7,64.1,12,0.833919796161354,4.7,"Sports","Yes","None",76.2,61.4,72.9,71.9,"Yes","None","Off-Campus","No",28.6,7.6,"Low",17.1,"Arts","4th",3198.18,"Fair","Good","Moderate","Medium-High",68.7333333333333
